Type,Bond_Head_Temperature,Heater_Block_Temperature,Bonding_Speed,Bonding_Force,Capillary_Wear,Wirebond_Failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Force_Speed_Ratio,Stress_Index,Wear_Temp_Interaction
1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,0.027595099935525464,66382.79999999999,0.0
0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,0.032883522727272727,65190.399999999994,31.5
0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,0.032977303070761015,74001.2,51.999999999999886
0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,0.027564549895324496,56603.5,72.80000000000024
0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,0.028409090909090908,56320.0,94.5
1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,0.029403508771929824,59707.5,115.5
0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,0.027214377406931962,66059.2,147.0
0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,0.02632612966601179,61385.4,168.0
1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,0.01715656868626275,47676.200000000004,187.1999999999996
1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,0.016082711085583,48748.0,220.5
2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,0.013411896745230079,42589.799999999996,252.0
2,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,0.031131412508784255,63038.899999999994,304.5
1,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,0.038162808065720685,68422.90000000001,357.0
1,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,0.01722158438576349,52260.0,392.19999999999874
0,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,0.009631449631449632,39886.0,423.99999999999864
0,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,0.03138780804150454,74632.8,445.19999999999857
1,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,0.03554538520213577,61092.6,466.3999999999985
1,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,0.03234042553191489,64296.0,493.5
2,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,0.041730474732006126,71177.0,519.9999999999989
1,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,0.01991421568627451,53040.0,572.0000000000018
2,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,0.031054545454545456,58712.50000000001,603.200000000002
0,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,0.030896551724137928,64959.99999999999,661.5
1,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,0.01941808981657179,48536.7,676.0000000000023
0,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,0.014618885096700797,45180.6,707.1999999999985
1,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,0.02389493914157591,58225.299999999996,727.9999999999984
0,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,0.012520150456743687,43361.3,766.5
0,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,0.025793650793650792,58968.0,779.9999999999983
2,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,0.013583655438983988,44550.600000000006,793.0999999999965
0,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,0.03071577484364142,63603.8,844.5999999999963
0,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,0.0177790903721205,50959.3,873.5999999999981
1,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,0.03599701269604182,64539.8,894.399999999998
0,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,0.01418242491657397,45849.0,925.599999999998
0,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,0.034038054968287525,68537.7,946.3999999999979
0,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,0.01951951951951952,54112.5,967.2000000000032
1,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,0.0222578576010263,54097.3,978.5000000000011
1,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,0.03347107438016529,70567.2,1019.1999999999978
1,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,0.023213156230234032,58022.700000000004,1040.300000000001
0,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,0.02724113968033357,56408.8,1071.2000000000012
2,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,0.03676577229876722,69915.3,1091.800000000001
0,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,0.03888888888888889,70875.0,1143.3000000000013
0,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,0.03333333333333333,61834.799999999996,1163.9000000000012
0,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,0.0371345029239766,69494.4,1184.5000000000014
1,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,0.03589181286549708,67168.8,1205.1000000000013
2,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,0.03534985422740525,66542.0,1247.9999999999973
1,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,0.03226902173913043,69920.0,1287.5000000000014
0,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,0.03297515110812626,73109.90000000001,1318.4000000000015
1,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,0.01399891481280521,47549.4,1339.0000000000014
0,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,0.032651622002820874,65653.4,1369.9000000000015
2,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,0.03782456140350877,76807.5,1403.9999999999968
1,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,0.03123229461756374,62269.200000000004,1442.0000000000016
0,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,0.0016078294302691366,13160.599999999999,1458.6000000000065
0,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,0.03969631236442516,75926.7,1479.0000000000066
2,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,0.029258517034068135,65568.59999999999,1499.3999999999983
0,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,0.022428115015974442,54931.5,1565.6000000000017
0,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,0.017800118273211117,50899.100000000006,1586.2000000000016
0,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,0.02691798941798942,61538.4,1606.8000000000018
0,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,0.02870683818551117,62624.799999999996,1627.400000000002
0,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,0.02663582286847323,60973.899999999994,1648.0000000000018
1,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,0.017760385310054184,48999.5,1652.3999999999983
0,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,0.03947750362844702,74963.2,1699.5000000000018
0,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,0.037760229720028717,73271.8,1720.100000000002
1,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,0.023994974874371862,60814.4,1723.7999999999981
0,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,0.012520503007107709,41884.1,1754.399999999998
1,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,0.014293598233995584,46930.799999999996,1757.400000000004
0,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,0.02534471437951412,58787.8,1787.700000000004
0,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,0.03235294117647059,62869.4,1807.9000000000042
1,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,0.017093508040500298,48187.299999999996,1810.0
2,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,0.030081855388813097,64650.6,1858.3999999999937
0,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,0.021218074656188603,49474.799999999996,1908.8999999999935
0,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,0.046595744680851064,92637.0,1929.1000000000045
1,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,0.011746361746361747,43482.4,1949.3000000000043
0,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,0.03133608815426997,66066.0,1999.200000000009
0,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,0.032432432432432434,60783.6,2019.600000000009
0,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,0.02198492462311558,55720.0,2020.0000000000045
0,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,0.020174890693316676,51712.299999999996,2040.2000000000046
0,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,0.03386511965192168,64399.3,2060.3999999999933
0,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,0.03278576317590691,69981.9,2080.599999999993
0,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,0.02838487972508591,60091.49999999999,2100.799999999993
0,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,0.03683834048640915,71997.0,0.0
0,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,0.027032810271041367,53135.799999999996,20.199999999999932
2,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,0.03453287197231834,72105.5,40.0
0,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,0.032758620689655175,68875.0,90.0
0,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,0.02807983482450103,59282.399999999994,110.0
0,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,0.027297481279782165,58906.9,130.0
0,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,0.03347398030942335,67687.2,150.0
1,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,0.014855875831485588,48347.200000000004,170.0
2,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,0.030571030640668524,63040.4,200.0
0,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,0.020595854922279794,49099.200000000004,250.0
1,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,0.03185341789992953,64138.8,270.0
1,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,0.0265635507733692,58736.5,300.0
0,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,0.014717626925270965,45227.4,330.0
0,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,0.01360655737704918,45567.0,350.0
