Type,Bond_Head_Temperature,Heater_Block_Temperature,Bonding_Speed,Bonding_Force,Capillary_Wear,Wirebond_Failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Force_Speed_Ratio,Stress_Index,Wear_Temp_Interaction,Machine,Predicted_Risk,Risk_Level,OEE,Timestamp
1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,0.0275950999355254,66382.79999999999,0.0,WBO002,0.0,LOW,51.7,2025-04-03 06:24:17.996559
0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,0.0328835227272727,65190.4,31.5,WBO001,0.01,LOW,46.464,2025-04-03 07:24:17.996559
0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999975,0.032977303070761,74001.2,51.999999999999886,WBO001,0.016666666666666666,LOW,49.10111111111111,2025-04-03 08:24:17.996559
0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,0.0275645498953244,56603.5,72.80000000000024,WBO001,0.023333333333333334,LOW,46.65211111111111,2025-04-03 09:24:17.996559
0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,0.0284090909090909,56320.0,94.5,WBO001,0.03,LOW,45.52533333333333,2025-04-03 10:24:17.996559
1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,0.0294035087719298,59707.5,115.5,WBO002,0.03666666666666667,LOW,45.75833333333333,2025-04-03 11:24:17.996559
0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,0.0272143774069319,66059.2,147.0,WBO001,0.04666666666666667,LOW,49.50977777777778,2025-04-03 12:24:17.996559
0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,0.0263261296660117,61385.4,168.0,WBO001,0.05333333333333334,LOW,48.18533333333333,2025-04-03 13:24:17.996559
1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999975,0.0171565686862627,47676.2,187.1999999999996,WBO002,0.06,LOW,52.23266666666666,2025-04-03 14:24:17.996559
1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,0.016082711085583,48748.0,220.5,WBO002,0.07,LOW,53.971000000000004,2025-04-03 15:24:17.996559
2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,0.01341189674523,42589.8,252.0,WBO003,0.08,LOW,54.647999999999996,2025-04-03 16:24:17.996559
2,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,0.0311314125087842,63038.9,304.5,WBO003,0.09666666666666666,LOW,42.84811111111111,2025-04-03 17:24:17.996559
1,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,0.0381628080657206,68422.90000000001,357.0,WBO002,0.11333333333333333,LOW,39.57488888888889,2025-04-03 18:24:17.996559
1,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,0.0172215843857634,52260.0,392.19999999999874,WBO002,0.12333333333333334,LOW,50.90511111111111,2025-04-03 19:24:17.996559
0,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,0.0096314496314496,39886.0,423.9999999999986,WBO001,0.13333333333333333,LOW,58.78888888888889,2025-04-03 20:24:17.996559
0,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,0.0313878080415045,74632.8,445.19999999999857,WBO001,0.14,LOW,44.204,2025-04-03 21:24:17.996559
1,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,0.0355453852021357,61092.6,466.3999999999985,WBO002,0.14666666666666667,LOW,37.29066666666667,2025-04-03 22:24:17.996559
1,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,0.0323404255319148,64296.0,493.5,WBO002,0.15666666666666668,LOW,39.636666666666656,2025-04-03 23:24:17.996559
2,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999975,0.0417304747320061,71177.0,519.9999999999989,WBO003,0.16666666666666666,LOW,36.27777777777778,2025-04-04 00:24:17.996559
1,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,0.0199142156862745,53040.0,572.0000000000018,WBO002,0.18333333333333332,LOW,44.42666666666667,2025-04-04 01:24:17.996559
2,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,0.0310545454545454,58712.50000000001,603.200000000002,WBO003,0.19333333333333333,LOW,36.972222222222214,2025-04-04 02:24:17.996559
0,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,0.0308965517241379,64959.99999999999,661.5,WBO001,0.21,LOW,38.18333333333334,2025-04-04 03:24:17.996559
1,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,0.0194180898165717,48536.7,676.0000000000023,WBO002,0.21666666666666667,LOW,41.281666666666666,2025-04-04 04:24:17.996559
0,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999975,0.0146188850967007,45180.6,707.1999999999985,WBO001,0.22666666666666666,LOW,45.31733333333333,2025-04-04 05:24:17.996559
1,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999975,0.0238949391415759,58225.3,727.9999999999984,WBO002,0.23333333333333334,LOW,39.892222222222216,2025-04-04 06:24:17.996559
0,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,0.0125201504567436,43361.3,766.5,WBO001,0.24333333333333335,LOW,46.93855555555555,2025-04-04 07:24:17.996559
0,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999975,0.0257936507936507,58968.0,779.9999999999983,WBO001,0.25,LOW,37.8,2025-04-04 08:24:17.996559
2,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999956,0.0135836554389839,44550.600000000006,793.0999999999965,WBO003,0.25666666666666665,LOW,44.87255555555556,2025-04-04 09:24:17.996559
0,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999956,0.0307157748436414,63603.8,844.5999999999963,WBO001,0.2733333333333333,LOW,34.85577777777778,2025-04-04 10:24:17.996559
0,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999975,0.0177790903721205,50959.3,873.5999999999981,WBO001,0.28,LOW,40.632000000000005,2025-04-04 11:24:17.996559
1,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999975,0.0359970126960418,64539.8,894.399999999998,WBO002,0.2866666666666667,LOW,31.83844444444445,2025-04-04 12:24:17.996559
0,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999975,0.0141824249165739,45849.0,925.599999999998,WBO001,0.2966666666666667,LOW,42.153111111111116,2025-04-04 13:24:17.996559
0,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999975,0.0340380549682875,68537.7,946.399999999998,WBO001,0.30333333333333334,MEDIUM,32.952333333333335,2025-04-04 14:24:17.996559
0,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,0.0195195195195195,54112.5,967.2000000000032,WBO001,0.31,MEDIUM,38.295,2025-04-04 15:24:17.996559
1,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,0.0222578576010263,54097.3,978.5000000000013,WBO002,0.31666666666666665,MEDIUM,35.51055555555556,2025-04-04 16:24:17.996559
1,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999975,0.0334710743801652,70567.2,1019.1999999999978,WBO002,0.32666666666666666,MEDIUM,32.58933333333333,2025-04-04 17:24:17.996559
1,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,0.023213156230234,58022.7,1040.300000000001,WBO002,0.33666666666666667,MEDIUM,34.95766666666667,2025-04-04 18:24:17.996559
0,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,0.0272411396803335,56408.8,1071.2000000000012,WBO001,0.3466666666666667,MEDIUM,31.33822222222222,2025-04-04 19:24:17.996559
2,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,0.0367657722987672,69915.3,1091.800000000001,WBO003,0.35333333333333333,MEDIUM,29.72511111111111,2025-04-04 20:24:17.996559
0,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,0.0388888888888888,70875.0,1143.300000000001,WBO001,0.37,MEDIUM,28.35,2025-04-04 21:24:17.996559
0,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,0.0333333333333333,61834.8,1163.9000000000012,WBO001,0.37666666666666665,MEDIUM,28.299333333333333,2025-04-04 22:24:17.996559
0,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,0.0371345029239766,69494.4,1184.5000000000014,WBO001,0.38333333333333336,MEDIUM,28.12,2025-04-04 23:24:17.996559
1,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,0.035891812865497,67168.8,1205.1000000000013,WBO002,0.39,MEDIUM,27.816000000000003,2025-04-05 00:24:17.996559
2,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999975,0.0353498542274052,66542.0,1247.9999999999973,WBO003,0.4,MEDIUM,27.439999999999998,2025-04-05 01:24:17.996559
1,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,0.0322690217391304,69920.0,1287.5000000000014,WBO002,0.4166666666666667,MEDIUM,28.622222222222216,2025-04-05 02:24:17.996559
0,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,0.0329751511081262,73109.90000000001,1318.4000000000017,WBO001,0.4266666666666667,MEDIUM,28.45644444444444,2025-04-05 03:24:17.996559
1,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,0.0139989148128052,47549.4,1339.0000000000014,WBO002,0.43333333333333335,MEDIUM,34.81222222222222,2025-04-05 04:24:17.996559
0,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,0.0326516220028208,65653.4,1369.9000000000017,WBO001,0.44333333333333336,MEDIUM,26.311777777777777,2025-04-05 05:24:17.996559
2,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999975,0.0378245614035087,76807.5,1403.9999999999968,WBO003,0.45,MEDIUM,26.125,2025-04-05 06:24:17.996559
1,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,0.0312322946175637,62269.2,1442.0000000000016,WBO002,0.4666666666666667,MEDIUM,25.10222222222222,2025-04-05 07:24:17.996559
0,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000044,0.0016078294302691,13160.6,1458.6000000000065,WBO001,0.4766666666666667,MEDIUM,0.0,2025-04-05 08:24:17.996559
